Player,Rk,Tm,VORPFit,Lwr,Upr,Notes
Henry Ellenson,NA,DET,-0.26,-2,0.71,
P.J. Hairston,173,FA,-0.26,-1.92,1.4,
Tyler Ulis,NA,PHO,-0.26,-1.47,0.24,
Taurean Prince,NA,ATL,-0.27,-1.41,0.61,
Derrick Rose,379,NYK,-0.27,-1.86,1.32,
Lou Amundson,12,FA,-0.27,-1.73,1.18,
Julius Randle,367,LAL,-0.28,-1.94,1.38,
Domantas Sabonis,NA,OKC,-0.28,-1.53,1.07,
Bojan Bogdanovic,53,BRK,-0.29,-1.96,1.37,
Rashad Vaughn,438,MIL,-0.29,-1.63,1.06,
Steve Blake,51,FA,-0.3,-1.55,0.96,
Wayne Ellington,129,MIA,-0.3,-1.89,1.29,
Luis Scola,389,BRK,-0.31,-1.97,1.35,
Brian Roberts,374,CHO,-0.31,-2.05,1.44,
Chris Copeland,95,FA,-0.31,-2.05,1.44,
Sasha Kaun,247,FA,-0.32,-1.66,1.03,
Charlie Villanueva,439,FA,-0.34,-1.66,0.99,
Kevin Martin,281,FA,-0.34,-1.47,0.78,
Kevin Seraphin,392,IND,-0.35,-2.07,1.37,
Adreian Payne,349,MIN,-0.35,-2.01,1.31,
Kendall Marshall,279,FA,-0.37,-2.11,1.38,
Kendrick Perkins,353,FA,-0.37,-1.63,0.89,
Norris Cole,90,FA,-0.37,-2.26,1.51,
Udonis Haslem,186,MIA,-0.39,-1.65,0.87,
Kay Felder,NA,CLE,-0.4,-1.9,1.41,
Andrew Nicholson,327,WAS,-0.4,-2.15,1.34,
JaKarr Sampson,387,FA,-0.45,-2.11,1.21,
Lance Thomas,422,NYK,-0.47,-2.36,1.42,
Johnny O'Bryant,335,FA,-0.47,-2.13,1.19,
Andrea Bargnani,33,FA,-0.57,-2.03,0.89,
Sonny Weems,450,FA,-0.6,-2.34,1.15,
Nick Young,473,LAL,-0.63,-2.26,1.01,
Marcelo Huertas,209,LAL,-0.87,-2.23,0.48,
