,Player,Rk,Tm,Fit,Lwr,Upr,Notes
447,Willie Cauley-Stein,83,SAC,1.28,-0.06,2.63,
448,Rudy Gay,151,SAC,1.14,-0.31,2.6,
449,Darren Collison,91,SAC,0.93,-0.66,2.52,
450,Matt Barnes,35,SAC,0.85,-0.41,2.11,
451,Omri Casspi,82,SAC,0.54,-1.05,2.13,
452,Garrett Temple,419,SAC,0.45,-1.27,2.17,
453,Kosta Koufos,253,SAC,0.4,-1.16,1.96,
454,Anthony Tolliver,428,SAC,0.38,-1.17,1.93,
455,Ben McLemore,294,SAC,0.31,-1.36,1.99,
456,Ty Lawson,259,SAC,0.22,-1.38,1.82,
457,Jordan Farmar,137,SAC,0.09,-1.54,1.73,
458,Arron Afflalo,4,SAC,-0.08,-1.72,1.56,
459,Isaiah Cousins,NA,SAC,-0.11,-0.8,0.81,
460,Georgios Papagiannis,NA,SAC,-0.12,-1.62,1.38,
461,Lamar Patterson,346,FA,-0.18,-1.53,1.16,
462,Malachi Richardson,NA,SAC,-0.22,-1.66,0.66,
463,Kawhi Leonard,263,SAS,5.46,2.47,8.46,
464,LaMarcus Aldridge,7,SAS,2.65,0.4,4.91,
465,Danny Green,165,SAS,2.22,0.62,3.81,
466,Pau Gasol,150,SAS,1.59,0.21,2.97,
467,Patrick Mills,304,SAS,1.2,-0.39,2.8,
468,Kyle Anderson,17,SAS,1.14,-0.52,2.8,
469,Manu Ginobili,155,SAS,0.84,-0.25,1.94,
470,David Lee,261,SAS,0.59,-0.73,1.92,
471,Tony Parker,344,SAS,0.43,-0.77,1.63,
472,Jonathon Simmons,395,SAS,0.28,-1.07,1.62,
473,Dewayne Dedmon,110,SAS,0.01,-1.66,1.69,
474,Joel Anthony,22,FA,0.01,-1.64,1.65,
475,Dejounte Murray,NA,SAS,-0.18,-1.81,1.7,
476,Kyle Lowry,273,TOR,5.36,3.23,7.48,
477,DeMar DeRozan,115,TOR,1.61,0.02,3.21,
478,Patrick Patterson,347,TOR,1.61,-0.12,3.33,
479,Jonas Valanciunas,435,TOR,1.2,-0.54,2.95,
480,DeMarre Carroll,79,TOR,0.99,-0.6,2.59,
481,Terrence Ross,380,TOR,0.94,-0.8,2.68,
482,Cory Joseph,242,TOR,0.79,-1.1,2.68,
483,Norman Powell,362,TOR,0.49,-0.85,1.83,
484,Lucas Nogueira,330,TOR,0.36,-1.3,2.02,
485,Jakob Poeltl,NA,TOR,0.23,-1.37,3.93,
486,Bruno Caboclo,74,TOR,0.19,-1.48,1.85,
487,Delon Wright,469,TOR,0.18,-1.16,1.52,
488,Pascal Siakam,NA,TOR,-0.2,-1.6,1.56,
489,Gordon Hayward,189,UTA,3.95,1.48,6.42,
490,Derrick Favors,138,UTA,3.15,0.62,5.67,
491,Rudy Gobert,156,UTA,2.99,1.3,4.69,
492,George Hill,196,UTA,1.85,0.3,3.41,
493,Rodney Hood,206,UTA,1.55,-0.11,3.21,
494,Boris Diaw,116,UTA,0.79,-0.46,2.05,
495,Joe Ingles,216,UTA,0.73,-0.93,2.39,
496,Jeff Withey,465,UTA,0.56,-1.12,2.23,
497,Raul Neto,326,UTA,0.33,-1.01,1.67,
498,Alec Burks,70,UTA,0.3,-1.59,2.19,
499,Trey Lyles,274,UTA,0.28,-1.06,1.62,
500,Chris Johnson,229,FA,0.27,-1.45,1.99,
501,Joe Johnson,231,UTA,0.2,-0.99,1.39,
502,Shelvin Mack,275,UTA,0.2,-1.69,2.09,
503,Henry Sims,396,UTA,0.16,-1.58,1.9,
504,Joel Bolomboy,NA,UTA,-0.18,-1.77,0.82,
505,John Wall,446,WAS,4.25,1.8,6.7,
506,Otto Porter,358,WAS,1.68,0,3.36,
507,Marcin Gortat,161,WAS,1.47,-0.17,3.11,
508,Bradley Beal,42,WAS,0.99,-0.75,2.74,
509,Ian Mahinmi,276,WAS,0.78,-0.78,2.33,
510,Markieff Morris,314,WAS,0.53,-1.36,2.42,
511,Trey Burke,69,WAS,0.3,-1.38,1.97,
512,Marcus Thornton,427,WAS,0.02,-1.57,1.61,
513,Jarell Eddie,128,FA,-0.03,-1.37,1.31,
514,Kelly Oubre,340,WAS,-0.22,-1.57,1.12,
515,Jason Smith,403,WAS,-0.25,-1.81,1.3,
516,Andrew Nicholson,327,WAS,-0.4,-2.15,1.34,
517,Johnny O'Bryant,335,FA,-0.47,-2.13,1.19,
518,Ben Simmons,NA,PHI,0.53,-1.5,4.73,Injury
519,Joel Embiid,NA,PHI,0.93,-0.94,4.32,
520,Dario Saric,NA,PHI,0.08,-1.42,1.58,
521,Sergio Rodriguez,NA,PHI,-0.2,-1.2,0.8,
